match_turn,player1wins,match,turnNumber
"[Gen 1] Random Battle-10280,19224,21594,46262-turn9.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",9
"[Gen 1] Random Battle-10321,42825,17208,24294-turn0.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",0
"[Gen 1] Random Battle-10321,42825,17208,24294-turn12.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",12
"[Gen 1] Random Battle-10321,42825,17208,24294-turn14.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",14
"[Gen 1] Random Battle-10321,42825,17208,24294-turn18.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",18
"[Gen 1] Random Battle-10321,42825,17208,24294-turn19.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",19
"[Gen 1] Random Battle-10321,42825,17208,24294-turn26.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",26
"[Gen 1] Random Battle-10321,42825,17208,24294-turn47.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",47
"[Gen 1] Random Battle-10321,42825,17208,24294-turn5.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",5
"[Gen 1] Random Battle-10321,42825,17208,24294-turn53.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",53
"[Gen 1] Random Battle-10321,42825,17208,24294-turn6.txt",0,"[Gen 1] Random Battle-10321,42825,17208,24294",6
"[Gen 1] Random Battle-10377,55868,50881,15990-turn0.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",0
"[Gen 1] Random Battle-10377,55868,50881,15990-turn14.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",14
"[Gen 1] Random Battle-10377,55868,50881,15990-turn25.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",25
"[Gen 1] Random Battle-10377,55868,50881,15990-turn35.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",35
"[Gen 1] Random Battle-10377,55868,50881,15990-turn37.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",37
"[Gen 1] Random Battle-10377,55868,50881,15990-turn41.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",41
"[Gen 1] Random Battle-10377,55868,50881,15990-turn47.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",47
"[Gen 1] Random Battle-10377,55868,50881,15990-turn54.txt",1,"[Gen 1] Random Battle-10377,55868,50881,15990",54
"[Gen 1] Random Battle-10474,47634,46097,8710-turn0.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",0
"[Gen 1] Random Battle-10474,47634,46097,8710-turn10.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",10
"[Gen 1] Random Battle-10474,47634,46097,8710-turn11.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",11
"[Gen 1] Random Battle-10474,47634,46097,8710-turn13.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",13
"[Gen 1] Random Battle-10474,47634,46097,8710-turn15.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",15
"[Gen 1] Random Battle-10474,47634,46097,8710-turn20.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",20
"[Gen 1] Random Battle-10474,47634,46097,8710-turn21.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",21
"[Gen 1] Random Battle-10474,47634,46097,8710-turn29.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",29
"[Gen 1] Random Battle-10474,47634,46097,8710-turn3.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",3
"[Gen 1] Random Battle-10474,47634,46097,8710-turn37.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",37
"[Gen 1] Random Battle-10474,47634,46097,8710-turn4.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",4
"[Gen 1] Random Battle-10474,47634,46097,8710-turn40.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",40
"[Gen 1] Random Battle-10474,47634,46097,8710-turn44.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",44
"[Gen 1] Random Battle-10474,47634,46097,8710-turn48.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",48
"[Gen 1] Random Battle-10474,47634,46097,8710-turn51.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",51
"[Gen 1] Random Battle-10474,47634,46097,8710-turn9.txt",1,"[Gen 1] Random Battle-10474,47634,46097,8710",9
"[Gen 1] Random Battle-10523,26377,29660,51078-turn0.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",0
"[Gen 1] Random Battle-10523,26377,29660,51078-turn1.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",1
"[Gen 1] Random Battle-10523,26377,29660,51078-turn18.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",18
"[Gen 1] Random Battle-10523,26377,29660,51078-turn20.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",20
"[Gen 1] Random Battle-10523,26377,29660,51078-turn22.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",22
"[Gen 1] Random Battle-10523,26377,29660,51078-turn25.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",25
"[Gen 1] Random Battle-10523,26377,29660,51078-turn32.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",32
"[Gen 1] Random Battle-10523,26377,29660,51078-turn35.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",35
"[Gen 1] Random Battle-10523,26377,29660,51078-turn42.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",42
"[Gen 1] Random Battle-10523,26377,29660,51078-turn43.txt",1,"[Gen 1] Random Battle-10523,26377,29660,51078",43
"[Gen 1] Random Battle-10580,44051,39343,13606-turn0.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",0
"[Gen 1] Random Battle-10580,44051,39343,13606-turn1.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",1
"[Gen 1] Random Battle-10580,44051,39343,13606-turn12.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",12
"[Gen 1] Random Battle-10580,44051,39343,13606-turn22.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",22
"[Gen 1] Random Battle-10580,44051,39343,13606-turn5.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",5
"[Gen 1] Random Battle-10580,44051,39343,13606-turn6.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",6
"[Gen 1] Random Battle-10580,44051,39343,13606-turn7.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",7
"[Gen 1] Random Battle-10580,44051,39343,13606-turn8.txt",1,"[Gen 1] Random Battle-10580,44051,39343,13606",8
"[Gen 1] Random Battle-10675,21606,23596,3862-turn0.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",0
"[Gen 1] Random Battle-10675,21606,23596,3862-turn11.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",11
"[Gen 1] Random Battle-10675,21606,23596,3862-turn16.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",16
"[Gen 1] Random Battle-10675,21606,23596,3862-turn28.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",28
"[Gen 1] Random Battle-10675,21606,23596,3862-turn30.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",30
"[Gen 1] Random Battle-10675,21606,23596,3862-turn37.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",37
"[Gen 1] Random Battle-10675,21606,23596,3862-turn8.txt",0,"[Gen 1] Random Battle-10675,21606,23596,3862",8
"[Gen 1] Random Battle-10684,23048,5681,3670-turn0.txt",1,"[Gen 1] Random Battle-10684,23048,5681,3670",0
"[Gen 1] Random Battle-10684,23048,5681,3670-turn12.txt",1,"[Gen 1] Random Battle-10684,23048,5681,3670",12
"[Gen 1] Random Battle-10684,23048,5681,3670-turn13.txt",1,"[Gen 1] Random Battle-10684,23048,5681,3670",13
"[Gen 1] Random Battle-10684,23048,5681,3670-turn7.txt",1,"[Gen 1] Random Battle-10684,23048,5681,3670",7
"[Gen 1] Random Battle-10714,22105,24112,13990-turn0.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",0
"[Gen 1] Random Battle-10714,22105,24112,13990-turn12.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",12
"[Gen 1] Random Battle-10714,22105,24112,13990-turn13.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",13
"[Gen 1] Random Battle-10714,22105,24112,13990-turn17.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",17
"[Gen 1] Random Battle-10714,22105,24112,13990-turn29.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",29
"[Gen 1] Random Battle-10714,22105,24112,13990-turn35.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",35
"[Gen 1] Random Battle-10714,22105,24112,13990-turn36.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",36
"[Gen 1] Random Battle-10714,22105,24112,13990-turn43.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",43
"[Gen 1] Random Battle-10714,22105,24112,13990-turn48.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",48
"[Gen 1] Random Battle-10714,22105,24112,13990-turn5.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",5
"[Gen 1] Random Battle-10714,22105,24112,13990-turn7.txt",0,"[Gen 1] Random Battle-10714,22105,24112,13990",7
"[Gen 1] Random Battle-10723,53202,44848,36390-turn0.txt",1,"[Gen 1] Random Battle-10723,53202,44848,36390",0
"[Gen 1] Random Battle-10723,53202,44848,36390-turn12.txt",1,"[Gen 1] Random Battle-10723,53202,44848,36390",12
"[Gen 1] Random Battle-10723,53202,44848,36390-turn17.txt",1,"[Gen 1] Random Battle-10723,53202,44848,36390",17
"[Gen 1] Random Battle-10723,53202,44848,36390-turn28.txt",1,"[Gen 1] Random Battle-10723,53202,44848,36390",28
"[Gen 1] Random Battle-10723,53202,44848,36390-turn6.txt",1,"[Gen 1] Random Battle-10723,53202,44848,36390",6
"[Gen 1] Random Battle-10723,53202,44848,36390-turn8.txt",1,"[Gen 1] Random Battle-10723,53202,44848,36390",8
"[Gen 1] Random Battle-10735,62,11009,48502-turn0.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",0
"[Gen 1] Random Battle-10735,62,11009,48502-turn13.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",13
"[Gen 1] Random Battle-10735,62,11009,48502-turn19.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",19
"[Gen 1] Random Battle-10735,62,11009,48502-turn23.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",23
"[Gen 1] Random Battle-10735,62,11009,48502-turn24.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",24
"[Gen 1] Random Battle-10735,62,11009,48502-turn25.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",25
"[Gen 1] Random Battle-10735,62,11009,48502-turn31.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",31
"[Gen 1] Random Battle-10735,62,11009,48502-turn34.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",34
"[Gen 1] Random Battle-10735,62,11009,48502-turn35.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",35
"[Gen 1] Random Battle-10735,62,11009,48502-turn36.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",36
"[Gen 1] Random Battle-10735,62,11009,48502-turn4.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",4
"[Gen 1] Random Battle-10735,62,11009,48502-turn45.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",45
"[Gen 1] Random Battle-10735,62,11009,48502-turn46.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",46
"[Gen 1] Random Battle-10735,62,11009,48502-turn6.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",6
"[Gen 1] Random Battle-10735,62,11009,48502-turn7.txt",1,"[Gen 1] Random Battle-10735,62,11009,48502",7
"[Gen 1] Random Battle-10888,65455,22599,39222-turn0.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",0
"[Gen 1] Random Battle-10888,65455,22599,39222-turn13.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",13
"[Gen 1] Random Battle-10888,65455,22599,39222-turn14.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",14
"[Gen 1] Random Battle-10888,65455,22599,39222-turn20.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",20
"[Gen 1] Random Battle-10888,65455,22599,39222-turn3.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",3
"[Gen 1] Random Battle-10888,65455,22599,39222-turn5.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",5
"[Gen 1] Random Battle-10888,65455,22599,39222-turn6.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",6
"[Gen 1] Random Battle-10888,65455,22599,39222-turn9.txt",1,"[Gen 1] Random Battle-10888,65455,22599,39222",9
"[Gen 1] Random Battle-10960,56468,21078,46822-turn0.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",0
"[Gen 1] Random Battle-10960,56468,21078,46822-turn20.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",20
"[Gen 1] Random Battle-10960,56468,21078,46822-turn25.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",25
"[Gen 1] Random Battle-10960,56468,21078,46822-turn33.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",33
"[Gen 1] Random Battle-10960,56468,21078,46822-turn36.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",36
"[Gen 1] Random Battle-10960,56468,21078,46822-turn42.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",42
"[Gen 1] Random Battle-10960,56468,21078,46822-turn45.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",45
"[Gen 1] Random Battle-10960,56468,21078,46822-turn48.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",48
"[Gen 1] Random Battle-10960,56468,21078,46822-turn50.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",50
"[Gen 1] Random Battle-10960,56468,21078,46822-turn51.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",51
"[Gen 1] Random Battle-10960,56468,21078,46822-turn53.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",53
"[Gen 1] Random Battle-10960,56468,21078,46822-turn55.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",55
"[Gen 1] Random Battle-10960,56468,21078,46822-turn9.txt",1,"[Gen 1] Random Battle-10960,56468,21078,46822",9
"[Gen 1] Random Battle-10969,16811,46788,15558-turn0.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",0
"[Gen 1] Random Battle-10969,16811,46788,15558-turn14.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",14
"[Gen 1] Random Battle-10969,16811,46788,15558-turn17.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",17
"[Gen 1] Random Battle-10969,16811,46788,15558-turn19.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",19
"[Gen 1] Random Battle-10969,16811,46788,15558-turn2.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",2
"[Gen 1] Random Battle-10969,16811,46788,15558-turn21.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",21
"[Gen 1] Random Battle-10969,16811,46788,15558-turn22.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",22
"[Gen 1] Random Battle-10969,16811,46788,15558-turn7.txt",0,"[Gen 1] Random Battle-10969,16811,46788,15558",7
"[Gen 1] Random Battle-10996,61603,58774,57190-turn0.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",0
"[Gen 1] Random Battle-10996,61603,58774,57190-turn10.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",10
"[Gen 1] Random Battle-10996,61603,58774,57190-turn11.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",11
"[Gen 1] Random Battle-10996,61603,58774,57190-turn17.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",17
"[Gen 1] Random Battle-10996,61603,58774,57190-turn2.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",2
"[Gen 1] Random Battle-10996,61603,58774,57190-turn22.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",22
"[Gen 1] Random Battle-10996,61603,58774,57190-turn24.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",24
"[Gen 1] Random Battle-10996,61603,58774,57190-turn26.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",26
"[Gen 1] Random Battle-10996,61603,58774,57190-turn31.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",31
"[Gen 1] Random Battle-10996,61603,58774,57190-turn32.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",32
"[Gen 1] Random Battle-10996,61603,58774,57190-turn42.txt",0,"[Gen 1] Random Battle-10996,61603,58774,57190",42
"[Gen 1] Random Battle-11051,3492,3587,53478-turn0.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",0
"[Gen 1] Random Battle-11051,3492,3587,53478-turn1.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",1
"[Gen 1] Random Battle-11051,3492,3587,53478-turn11.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",11
"[Gen 1] Random Battle-11051,3492,3587,53478-turn22.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",22
"[Gen 1] Random Battle-11051,3492,3587,53478-turn6.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",6
"[Gen 1] Random Battle-11051,3492,3587,53478-turn7.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",7
"[Gen 1] Random Battle-11051,3492,3587,53478-turn8.txt",1,"[Gen 1] Random Battle-11051,3492,3587,53478",8
"[Gen 1] Random Battle-11109,54204,1446,2694-turn0.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",0
"[Gen 1] Random Battle-11109,54204,1446,2694-turn17.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",17
"[Gen 1] Random Battle-11109,54204,1446,2694-turn19.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",19
"[Gen 1] Random Battle-11109,54204,1446,2694-turn2.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",2
"[Gen 1] Random Battle-11109,54204,1446,2694-turn21.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",21
"[Gen 1] Random Battle-11109,54204,1446,2694-turn22.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",22
"[Gen 1] Random Battle-11109,54204,1446,2694-turn24.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",24
"[Gen 1] Random Battle-11109,54204,1446,2694-turn36.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",36
"[Gen 1] Random Battle-11109,54204,1446,2694-turn4.txt",0,"[Gen 1] Random Battle-11109,54204,1446,2694",4
"[Gen 1] Random Battle-11116,55636,33681,41318-turn0.txt",0,"[Gen 1] Random Battle-11116,55636,33681,41318",0
"[Gen 1] Random Battle-11116,55636,33681,41318-turn11.txt",0,"[Gen 1] Random Battle-11116,55636,33681,41318",11
"[Gen 1] Random Battle-11116,55636,33681,41318-turn14.txt",0,"[Gen 1] Random Battle-11116,55636,33681,41318",14
"[Gen 1] Random Battle-11116,55636,33681,41318-turn15.txt",0,"[Gen 1] Random Battle-11116,55636,33681,41318",15
"[Gen 1] Random Battle-11116,55636,33681,41318-turn6.txt",0,"[Gen 1] Random Battle-11116,55636,33681,41318",6
"[Gen 1] Random Battle-11116,55636,33681,41318-turn7.txt",0,"[Gen 1] Random Battle-11116,55636,33681,41318",7
"[Gen 1] Random Battle-11135,49848,12331,56566-turn0.txt",0,"[Gen 1] Random Battle-11135,49848,12331,56566",0
"[Gen 1] Random Battle-11135,49848,12331,56566-turn10.txt",0,"[Gen 1] Random Battle-11135,49848,12331,56566",10
"[Gen 1] Random Battle-11135,49848,12331,56566-turn16.txt",0,"[Gen 1] Random Battle-11135,49848,12331,56566",16
"[Gen 1] Random Battle-11135,49848,12331,56566-turn8.txt",0,"[Gen 1] Random Battle-11135,49848,12331,56566",8
"[Gen 1] Random Battle-1114,64503,61066,31894-turn0.txt",1,"[Gen 1] Random Battle-1114,64503,61066,31894",0
"[Gen 1] Random Battle-1114,64503,61066,31894-turn12.txt",1,"[Gen 1] Random Battle-1114,64503,61066,31894",12
"[Gen 1] Random Battle-1114,64503,61066,31894-turn14.txt",1,"[Gen 1] Random Battle-1114,64503,61066,31894",14
"[Gen 1] Random Battle-1114,64503,61066,31894-turn20.txt",1,"[Gen 1] Random Battle-1114,64503,61066,31894",20
"[Gen 1] Random Battle-1114,64503,61066,31894-turn5.txt",1,"[Gen 1] Random Battle-1114,64503,61066,31894",5
"[Gen 1] Random Battle-11163,41388,28404,29766-turn0.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",0
"[Gen 1] Random Battle-11163,41388,28404,29766-turn10.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",10
"[Gen 1] Random Battle-11163,41388,28404,29766-turn18.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",18
"[Gen 1] Random Battle-11163,41388,28404,29766-turn19.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",19
"[Gen 1] Random Battle-11163,41388,28404,29766-turn30.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",30
"[Gen 1] Random Battle-11163,41388,28404,29766-turn31.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",31
"[Gen 1] Random Battle-11163,41388,28404,29766-turn36.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",36
"[Gen 1] Random Battle-11163,41388,28404,29766-turn40.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",40
"[Gen 1] Random Battle-11163,41388,28404,29766-turn43.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",43
"[Gen 1] Random Battle-11163,41388,28404,29766-turn48.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",48
"[Gen 1] Random Battle-11163,41388,28404,29766-turn50.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",50
"[Gen 1] Random Battle-11163,41388,28404,29766-turn51.txt",1,"[Gen 1] Random Battle-11163,41388,28404,29766",51
